pub_date	title	venue	excerpt	citation	url_slug	paper_url
2015-08-01	A Systematic Study of Interference Effects in Non-Sequential Double Ionisation	J. Phys.: Conf. Ser.		A. S. Maxwell & C. Figueira de Morisson Faria. J. Phys.: Conf. Ser., 635, 92136 (2015).	A Systematic Study of Interference Effects in Non-Sequential Double Ionisation	https://iopscience.iop.org/article/10.1088/1742-6596/635/9/092136/meta
2015-08-01	On properties of Karlsson Hadamards and sets of mutually unbiased bases in dimension six	Linear Algebra and Its Applications,		A. S. Maxwell & S. Brierley. Linear Algebra and Its Applications, 466, 296306 (2015)	On properties of Karlsson Hadamards and sets of mutually unbiased bases in dimension six	https://www.sciencedirect.com/science/article/pii/S0024379514006867
2015-02-01	Quantum interference in time-delayed nonsequential double ionization	Phys. Rev. A		A. S. Maxwell & C. Figueira de Morisson Faria. Phys. Rev. A, 92, 23421 (2015).	Quantum interference in time-delayed nonsequential double ionization	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.023421
2016-08-24	Controlling Below-Threshold Nonsequential Double Ionization via Quantum Interference	Phys. Rev. Lett.		A. S. Maxwell & C. Figueira de Morisson Faria. Phys. Rev. Lett., 116, 143001 (2016)	Controlling Below-Threshold Nonsequential Double Ionization via Quantum Interference	https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.116.143001
2017-08-22	Coulomb-corrected quantum interference in above-threshold ionization: Working towards multi-trajectory electron holography	Phys. Rev. A		A. S. Maxwell, A. Al-Jawahiry, T. Das & C. Figueria de Morisson Faria. Phys. Rev. A 96, 023420 (2017)	Coulomb-corrected quantum interference in above-threshold ionization: Working towards multi-trajectory electron holography	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.96.023420
2018-01-26	Analytic quantum-interference condi- tions in Coulomb corrected photoelectron holography	J. Phys. B: At. Mol. Opt. Phys.		A. S. Maxwell, A. Al-Jawahiry, X. Y. Lai & C. Figueria de Morisson Faria. J. Phys. B: At. Mol. Opt. Phys. 51, 044004 (2018)	Analytic quantum-interference condi- tions in Coulomb corrected photoelectron holography	https://iopscience.iop.org/article/10.1088/1361-6455/aa9e81
2018-05-23	Analytic quantum-interference condi- tions in Coulomb corrected photoelectron holography	J. Phys. B: At. Mol. Opt. Phys.		A. S. Maxwell & C. Figueria de Morisson Faria.  J. Phys. B: At. Mol. Opt. Phys. 51 124001 (2018)	Analytic quantum-interference condi- tions in Coulomb corrected photoelectron holography	https://iopscience.iop.org/article/10.1088/1361-6455/aac164/pdf
2018-12-20	Treating Branch Cuts in Quantum Trajectory Models for Photoelectron Holography	Phys. Rev. A		A. S. Maxwell, C. Figueira de Morisson Faria & S. V. Popruzhenko. Phys. Rev. A 98, 063423 (2018)	Treating Branch Cuts in Quantum Trajectory Models for Photoelectron Holography	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.98.063423
2019-10-14	Symphony on Strong Field Approximation	Rep. Prog. Phys. 		K. Amini, [et al. including A. S. Maxwell]. Rep. Prog. Phys. 82 116001 (2019)	Symphony on Strong Field Approximation	https://iopscience.iop.org/article/10.1088/1361-6633/ab2bb1/meta
2020-01-28	It is all about phases: ultrafast holographic photoelectron imaging	Rep. Prog. Phys. 		C. F. de Morisson Faria and A. S. Maxwell. Reports on Progress in Physics 83, 034401 (2020)	It is all about phases: ultrafast holographic photoelectron imaging	https://iopscience.iop.org/article/10.1088/1361-6633/ab5c91/meta
2019-08-11	Holographic detection of parity in atomic and molecular orbitals	arXiv		H. P. Kang, A. S. Maxwell, et al. arXiv:1908.03860 (2019)	Holographic detection of parity in atomic and molecular orbitals	https://arxiv.org/abs/1908.03860
